,time,sv,ECEF,position,clock,velocity,dclock
2157,11:30:00 PM,L47,x,215.105395,0.001583,-1665.07122,1000000
2158,11:30:00 PM,L47,z,-3264.298697,0.001583,-66971.708,1000000
2159,11:30:00 PM,L47,y,-6022.804538,0.001583,36164.15034,1000000
2160,12:00:00 AM,L47,x,850.589368,-0.007136,6666.116827,1000000
2161,12:00:00 AM,L47,y,5414.415324,-0.007136,45172.9607,1000000
2162,12:00:00 AM,L47,z,-4118.044896,-0.007136,60848.88334,1000000
2163,12:30:00 AM,L47,y,1459.064978,-5.20E-05,-72151.70533,1000000
2164,12:30:00 AM,L47,x,55.429086,-5.20E-05,-18284.6691,1000000
2165,12:30:00 AM,L47,z,6680.756263,-5.20E-05,15867.78645,1000000
2166,1:00:00 AM,L47,x,-2433.010886,0.002651,5046.081817,1000000
2167,1:00:00 AM,L47,y,-6218.242317,0.002651,16298.71721,1000000
2168,1:00:00 AM,L47,z,-1538.087729,0.002651,-74263.06669,1000000
2169,1:30:00 AM,L47,z,-5428.688038,-0.000686,46408.70135,1000000
2170,1:30:00 AM,L47,x,2278.707935,-0.000686,30418.95456,1000000
2171,1:30:00 AM,L47,y,3513.494297,-0.000686,51926.36273,1000000
2172,2:00:00 AM,L47,z,6056.49245,-0.003039,35222.2994,1000000
2173,2:00:00 AM,L47,x,1682.425174,-0.003039,-40117.3939,1000000
2174,2:00:00 AM,L47,y,2696.707502,-0.003039,-54282.36236,1000000
2175,2:30:00 AM,L47,z,299.573188,0.000748,-76145.3078,1000000
2176,2:30:00 AM,L47,x,-4812.087062,0.000748,-3451.375533,1000000
2177,2:30:00 AM,L47,y,-4865.592381,0.000748,-1426.489643,1000000
2178,3:00:00 AM,L47,x,2217.422498,0.002078,55824.05474,1000000
2179,3:00:00 AM,L47,y,1352.936507,0.002078,42764.12307,1000000
2180,3:00:00 AM,L47,z,-6345.578504,0.002078,28637.32576,1000000
2181,3:30:00 AM,L47,x,3915.94931,-0.001542,-47500.54321,1000000
2182,3:30:00 AM,L47,y,2564.036651,-0.001542,-28997.96038,1000000
2183,3:30:00 AM,L47,z,4990.579788,-0.001542,52019.34945,1000000
2184,4:00:00 AM,L47,x,-6038.57314,0.003185,-22327.8529,1000000
2185,4:00:00 AM,L47,y,-2437.956534,0.003185,-7902.665338,1000000
2186,4:00:00 AM,L47,z,2114.959156,0.003185,-72470.88831,1000000
2187,4:30:00 AM,L47,z,-6803.134521,-0.000651,8825.271116,1000000
2188,4:30:00 AM,L47,y,-94.361345,-0.000651,19752.18024,1000000
2189,4:30:00 AM,L47,x,851.000446,-0.000651,72743.29672,1000000
2190,5:00:00 AM,L47,x,5767.207429,-0.006831,-39199.00753,1000000
2191,5:00:00 AM,L47,y,956.231864,-0.006831,-6623.108029,1000000
2192,5:00:00 AM,L47,z,3560.78929,-0.006831,65028.45036,1000000
2193,5:30:00 AM,L47,x,-5706.249049,0.001024,-42136.67804,1000000
2194,5:30:00 AM,L47,y,148.770208,0.001024,1020.697316,1000000
2195,5:30:00 AM,L47,z,3775.747645,0.001024,-63505.41573,1000000
2196,6:00:00 AM,L47,x,-1077.624504,-0.007141,74428.09864,1000000
2197,6:00:00 AM,L47,y,-179.418075,-0.007141,-9257.30258,1000000
2198,6:00:00 AM,L47,z,-6769.130937,-0.007141,-11613.34476,1000000
2199,6:30:00 AM,L47,x,6390.806554,0.00057,-20595.71371,1000000
2200,6:30:00 AM,L47,y,-1597.410893,0.00057,3983.805211,1000000
2201,6:30:00 AM,L47,z,1871.223321,0.00057,73294.30898,1000000
2202,7:00:00 AM,L47,x,-4057.541349,0.003124,-52869.94163,1000000
2203,7:00:00 AM,L47,y,1924.512731,0.003124,22735.94556,1000000
2204,7:00:00 AM,L47,z,5160.787343,0.003124,-49911.88216,1000000
2205,7:30:00 AM,L47,x,-2583.847732,0.000822,60340.81044,1000000
2206,7:30:00 AM,L47,y,1148.277286,0.000822,-33924.98472,1000000
2207,7:30:00 AM,L47,z,-6246.174453,0.000822,-31221.62527,1000000
2208,8:00:00 AM,L47,x,5445.607483,-0.002258,-1373.771649,1000000
2209,8:00:00 AM,L47,y,-4156.774933,-0.002258,-791.943479,1000000
2210,8:00:00 AM,L47,z,45.385954,-0.002258,76208.20354,1000000
2211,8:30:00 AM,L47,x,-1878.083403,0.001321,-48262.27014,1000000
2212,8:30:00 AM,L47,y,2276.134011,0.001321,48981.02711,1000000
2213,8:30:00 AM,L47,z,6169.617179,0.001321,-32686.75398,1000000
2214,9:00:00 AM,L47,x,-2862.404237,-0.002958,36372.02458,1000000
2215,9:00:00 AM,L47,z,-5271.395108,-0.002958,-48604.4602,1000000
2216,9:00:00 AM,L47,y,3319.291969,-0.002958,-45745.07352,1000000
2217,9:30:00 AM,L47,x,3240.883196,-0.004493,8654.811454,1000000
2218,9:30:00 AM,L47,y,-5769.217356,-0.004493,-17786.4653,1000000
2219,9:30:00 AM,L47,z,-1783.867721,-0.004493,73566.1779,1000000
2220,10:00:00 AM,L47,x,-161.453508,-0.001569,-28475.94569,1000000
2221,10:00:00 AM,L47,y,1205.877823,-0.001569,69354.62413,1000000
2222,10:00:00 AM,L47,z,6728.849402,-0.001569,-13088.47191,1000000
2223,10:30:00 AM,L47,x,-1630.072946,0.003997,12378.62411,1000000
2224,10:30:00 AM,L47,y,5385.842988,0.003997,-41602.61465,1000000
2225,10:30:00 AM,L47,z,-3914.020613,0.003997,-62503.39815,1000000
2226,11:00:00 AM,L47,y,-5872.599456,-0.001336,-38448.76777,1000000
2227,11:00:00 AM,L47,z,-3484.075696,-0.001336,65574.11373,1000000
2228,11:00:00 AM,L47,x,605.579628,-0.001336,3763.833746,1000000
2229,11:30:00 AM,L47,x,315.219546,-0.001269,-52.034257,1000000
2230,11:30:00 AM,L47,y,-671.680171,-0.001269,75735.13226,1000000
2231,11:30:00 AM,L47,z,6797.555333,-0.001269,7462.129972,1000000
2232,12:00:00 PM,L47,x,749.958611,0.000328,-1961.440423,1000000
2233,12:00:00 PM,L47,y,6421.774271,0.000328,-25114.87782,1000000
2234,12:00:00 PM,L47,z,-2271.819933,0.000328,-71886.14874,1000000
2235,12:30:00 PM,L47,x,-1462.694427,-0.004423,-15242.24007,1000000
2236,12:30:00 PM,L47,y,-4533.305682,-0.004423,-52499.71219,1000000
2237,12:30:00 PM,L47,z,-4931.264895,-0.004423,52833.11261,1000000
2238,1:00:00 PM,L47,z,6370.550997,-0.002622,27472.70146,1000000
2239,1:00:00 PM,L47,y,-2393.253076,-0.002622,65716.9396,1000000
2240,1:00:00 PM,L47,x,-677.793176,-0.002622,26855.85775,1000000
2241,1:30:00 PM,L47,x,3417.5022,-0.000738,-1284.658154,1000000
2242,1:30:00 PM,L47,y,5919.294762,-0.000738,-5102.585803,1000000
2243,1:30:00 PM,L47,z,-464.230031,-0.000738,-76043.23198,1000000
