time,x,x_dot,y,y_dot,z,z_dot
2024-05-14 08:00:00,-3752.036773,-58723.903374,1429.878696,19063.518646,5539.375674,-44585.863039
2024-05-14 08:30:00,-3166.199195,60417.483665,1152.539014,-27018.995723,-5971.768459,-37275.169367
2024-05-14 09:00:00,5761.705829,4467.502823,-3665.999764,-4545.646117,-567.007052,75942.469341
2024-05-14 09:30:00,-1629.866338,-54557.652153,1743.88631,46073.622812,6409.696551,-26351.678077
2024-05-14 10:30:00,3612.997074,14024.998542,-5319.081261,-22292.252309,-2375.325741,71455.084775
2024-05-14 11:00:00,22.280553,-35078.653188,639.053219,67240.933785,6809.130662,-6188.924707
2024-05-14 11:30:00,-2196.761639,14091.182978,5541.588242,-34780.983606,-3383.968748,-66229.221895
2024-05-14 12:00:00,1029.23561,8524.873997,-5465.172989,-43635.935705,-4010.104365,61733.889345
2024-05-14 12:30:00,424.978052,-6862.107819,-1265.31376,74400.589802,6707.957158,14428.853941
2024-05-14 13:00:00,209.313702,621.009608,6644.720458,-18438.831968,-1663.542219,-73923.059725
2024-05-14 13:30:00,-988.065994,-11197.783803,-4172.056924,-58247.18651,-5351.411865,47510.260345
2024-05-14 14:00:00,-649.390845,19889.557006,-3000.270619,65144.995526,6113.395185,33994.368258
2024-05-14 14:30:00,2907.680137,2209.103375,6200.462188,1283.035255,179.231396,-76188.490321
2024-05-14 15:00:00,-1695.399636,-38080.520621,-2109.194832,-58515.965788,-6300.91897,29845.779591
2024-05-14 15:30:00,-2777.392638,35654.364692,-3662.772429,43844.920367,5069.33423,51068.068093
2024-05-14 16:00:00,4899.862853,17530.316986,4341.950794,14098.59172,2008.570924,-72844.075456
2024-05-14 16:30:00,-922.862633,-61856.127528,-258.015827,-42808.482103,-6790.146722,10033.773686
2024-05-14 17:00:00,-5064.883674,35637.739176,-2805.730824,19788.271031,3652.624864,64389.72352
2024-05-14 17:30:00,5481.217166,39146.362679,1788.916177,12769.921799,3689.421059,-64135.40851
2024-05-14 18:00:00,857.361086,-73409.970398,508.399907,-16145.74796,-6784.406458,-10495.922926
2024-05-14 18:30:00,-6529.878472,21801.370072,-630.872067,3206.657625,1967.38978,72975.297948
2024-05-14 19:00:00,4540.197836,56716.096208,-459.522445,-3755.435872,5098.508447,-50711.439179
2024-05-14 20:00:00,-6522.039165,2002.801108,2095.310782,893.382875,137.648723,76189.786481
2024-05-14 20:30:00,2603.66855,61448.244357,-1550.790946,-29880.012938,6132.469847,-33570.706859
2024-05-14 21:00:00,3752.603749,-50060.393378,-2134.975613,31307.83149,-5325.885312,-47866.443928
2024-05-14 21:30:00,-5000.917959,-13404.856959,4367.128075,13293.798085,-1702.199794,73802.241243
2024-05-14 22:00:00,609.150366,49878.043736,-1141.663294,-55748.128886,6715.690272,-13977.37848
